GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Direct(NGET),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(NGET),226.5,226.5,186.5,153.5,153.5,153.5,153.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(SHETL),22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(SHETL),12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(SHETL),16.0,16.0,16.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WISD_1,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ABTH_1,18.56396958,16.47846705,13.69857251,10.223328,5.357930932,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHA1,36.52412162,32.42095028,26.95158093,20.1141288,10.54158811,,,,,,,,,,,,,,,,,,,,,,,,,,
AMEM_1,6.839357213,6.071014176,5.046842505,3.766489262,1.973974554,,,,,,,,,,,,,,,,,,,,,,,,,,
AXMI1,1.916974122,1.701618545,1.414557856,1.055693133,0.553276868,,,,,,,,,,,,,,,,,,,,,,,,,,
BARKW3,25.55183855,22.68130896,18.8550036,14.07160388,7.374768933,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDD_1,6.276575819,5.571456438,4.631559464,3.456561003,1.811544648,,,,,,,,,,,,,,,,,,,,,,,,,,
BISW_1,1.29947787,1.153492693,0.958900076,0.71563296,0.375055165,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLN_1,2.149512267,1.908033027,1.586150502,1.183753768,0.620392003,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTW_1,19.54102061,17.34575479,14.41955001,10.76139789,5.639927296,,,,,,,,,,,,,,,,,,,,,,,,,,
BRFO_1,79.33654367,70.42376445,58.54337306,43.69127544,22.89810482,,,,,,,,,,,,,,,,,,,,,,,,,,
BRED_1,6.253126595,5.550641533,4.614256004,3.443647325,1.804776735,,,,,,,,,,,,,,,,,,,,,,,,,,
BRWA1,4.640992394,4.119616762,3.424643128,2.555831999,1.339482733,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH_1,33.41514524,29.66124069,24.65743052,18.40199039,9.644275677,,,,,,,,,,,,,,,,,,,,,,,,,,
BUST_1,2.970235132,2.636554728,2.191771602,1.635732479,0.857268949,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTN1,6.839357213,6.071014176,5.046842505,3.766489262,1.973974554,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPEA1,12.23884975,10.8639201,9.031191851,6.740033416,3.532375517,,,,,,,,,,,,,,,,,,,,,,,,,,
CARR_1,6.057716389,5.377183985,4.470060504,3.336033346,1.748377462,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_1,2.098705613,1.862934064,1.548659671,1.155774133,0.605728192,,,,,,,,,,,,,,,,,,,,,,,,,,
CHSI_1,28.38333243,25.19470883,20.94439639,15.63093044,8.191994398,,,,,,,,,,,,,,,,,,,,,,,,,,
CITR_1,24.25040657,21.52608169,17.89466157,13.35489478,6.999149775,,,,,,,,,,,,,,,,,,,,,,,,,,
CONQA1,30.85424307,27.38803388,22.76771055,16.99168088,8.905148363,,,,,,,,,,,,,,,,,,,,,,,,,,
COVE_1,5.569190873,4.943540115,4.109571754,3.066998399,1.607379279,,,,,,,,,,,,,,,,,,,,,,,,,,
DALM3,1.684206534,1.495000396,1.242795903,0.927506142,0.486095511,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAX_1,17.58691855,15.61117931,12.97759501,9.685258102,5.075934567,,,,,,,,,,,,,,,,,,,,,,,,,,
East Claydon (_B),8.242402493,7.31643937,6.082166196,4.53915763,2.378921334,,,,,,,,,,,,,,,,,,,,,,,,,,
EASO_1,4.396729637,3.902794828,3.244398753,2.421314525,1.268983642,,,,,,,,,,,,,,,,,,,,,,,,,,
ELST_1,53.58636376,47.56639607,39.54201103,29.51044337,15.46609063,,,,,,,,,,,,,,,,,,,,,,,,,,
EXET1,18.56396958,16.47846705,13.69857251,10.223328,5.357930932,,,,,,,,,,,,,,,,,,,,,,,,,,
FECK_6,41.27258963,36.63596869,30.45553158,22.72914849,11.91209044,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrybridge B (_M),68.39357213,60.71014176,50.46842505,37.66489262,19.73974554,,,,,,,,,,,,,,,,,,,,,,,,,,
FROD_1,4.319594029,3.834324743,3.187479477,2.378835323,1.246720771,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIW_1,23.44922473,20.81490575,17.30346002,12.91367747,6.767912756,,,,,,,,,,,,,,,,,,,,,,,,,,
HACK_6,7.034767419,6.244471724,5.191038005,3.874103241,2.030373827,,,,,,,,,,,,,,,,,,,,,,,,,,
HARK_1,17.52389876,15.55523925,12.93109196,9.650552594,5.057745801,,,,,,,,,,,,,,,,,,,,,,,,,,
HEYS_1,2.735742885,2.428405671,2.018737002,1.506595705,0.789589821,,,,,,,,,,,,,,,,,,,,,,,,,,
HURS_1,1.465576546,1.300931609,1.081466251,0.807104842,0.422994547,,,,,,,,,,,,,,,,,,,,,,,,,,
